OQ	as i am trying ti log in to my kindle fire it says cant log in check your mobile setting which ido n't understand what to check before it was working perfect __eou__	User
PA	hello robert the amazon fire phone is no longer supported __eou__	Agent
FD	i have a fire and hdx , same on both __eou__	Agent
PA	hi robert just additional information to normanemily2995 's reply , you can also refer to these links for additional details thank you __eou__	Agent

OQ	i am unable to send emails to group contacts when i try i get a message an error has occurred help please __eou__	User
CQ	hi jill , this kind of error can occur if your outlook is not updated for us to get a better grasp of your issue , may we ask what email system you are using \? when you log in to your email account on a web browser , does it say outlook com or does it say outlook mail across the top \? kindly click here to know exactly which email system you are using __eou__	Agent
FD_PF	i am running a microsoft office 365 pro plus , version 1704 , 32 bit yesterday i contacted the microsoft answer desk and a technician called me and showed me how o fix the problem , namely , to click on the little box to the left of the name of the group to expand the list by replacing the name of the list with the names of its members when i replaced the name of the list with the names of its members i was then able to send the email to everyone on the list thanks for looking at the problem and i hope that the fix helps others with the problem jill __eou__	User
PF	we thank you for the update that you have provided us we have marked your post as answer to help other fellow community members that is having the same issue feel free to create another thread should another issue arise regards __eou__	Agent

OQ	i bought this game , do n't judge it 's fun , and whenever i press install it wo n't install i 've already tried the wsreset exe but not even that will work here is the youtube link to demonstrate my problem https youtu be gsoon2l79d8 moved from windows apps on windows 10 other windows apps games __eou__	User
PA	hi , this issue can be caused by corrupted windows store cache as an initial troubleshooting , we suggest clearing windows store cache by following the steps below update us with the outcome so we can provide further assistance __eou__	Agent
FD_NF	as already stated i already tried running wsreset exe and i still wo n't install even though i press install __eou__	User
PA_PF	start by running the windows store apps troubleshooter open start settings update security troubleshoot scroll down to the bottom click windows store apps click run the troubleshooter when complete try opening the store again then attempt the download again your antivirus might be interfering with the store , try disabling it 'temporarily' to see if it launches check windows update and install the latest updates sometimes microsoft releases infrastructure fixes for the store through windows update __eou__	Agent

OQ	for around a month my settings would disappear whenever i opened it will still show on the task bar and still show the tab when i hover my mouse over it but when i clicked it it did nothing i did n't want to reinstall steam because i would lose all of my data on my external hard drive i bring this to your attention now because steam started doing the same exact thing so now i can no longer play games i did n't create shortcuts too if somebody knows how you can fix this , please tell me __eou__	User
IR_PA	hi , for us to isolate the issue with your settings , we would like to know the following we look forward to your response __eou__	Agent
CQ_FD	i want to reinstall microsoft bingo for free i have windows10 i ca n't even open my store app by clicking on the shopping bag icon __eou__	Agent
FD	i did n't have this issue before __eou__	Agent
FD	there were some issues made __eou__	Agent
